"id","name","slug","description"
5,"Sturdy","sturdy","The Pokemon is not knocked out from full HP by a one-hit KO move or a move that would leave it with 0 HP."
8,"Sand Veil","sand-veil","Boosts the Pokemon's evasiveness in a sandstorm."
18,"Flash Fire","flash-fire","Powers up the Pokemon's Fire-type moves if it's hit by one."
22,"Intimidate","intimidate","Lowers the opposing Pokemon's Attack stat when entering battle."
28,"Synchronize","synchronize","Passes a burn, poison, or paralysis to the Pokemon that inflicted it."
36,"Trace","trace","The Pokemon copies the Ability of a foe it faces in battle."
39,"Inner Focus","inner-focus","The Pokemon is protected from flinching."
45,"Sand Stream","sand-stream","The Pokemon summons a sandstorm that lasts 5 turns when it enters battle."
56,"Cute Charm","cute-charm","Contact with the Pokemon may cause infatuation."
61,"Shed Skin","shed-skin","The Pokemon may heal its own status conditions by shedding its skin."
65,"Overgrow","overgrow","Powers up Grass-type moves when the Pokemon's HP is low."
69,"Rock Head","rock-head","Protects the Pokemon from recoil damage."
70,"Drought","drought","Turns the sunlight harsh when the Pokemon enters a battle."
81,"Snow Cloak","snow-cloak","Boosts evasiveness in a hailstorm or snowstorm."
83,"Anger Point","anger-point","Maxes out the Attack stat after the Pokemon takes a critical hit."
89,"Iron Fist","iron-fist","Powers up punching moves."
99,"No Guard","no-guard","Ensures attacks by or against the Pokemon land."
103,"Klutz","klutz","The Pokemon cannot use its held item, but still suffers from negative effects."
117,"Snow Warning","snow-warning","The Pokemon summons a snowstorm when it enters a battle."
125,"Sheer Force","sheer-force","Removes additional effects of moves to increase their power."
134,"Heavy Metal","heavy-metal","Doubles the Pokemon's weight."
136,"Multiscale","multiscale","Reduces damage the Pokemon takes when its HP is full."
154,"Justified","justified","Being hit by a Dark-type move boosts the Attack stat of the Pokemon, for justice."
158,"Prankster","prankster","Gives priority to status moves."
167,"Long Reach","long-reach","The Pokemon uses moves without making contact with the target."
173,"Weak Armor","weak-armor","Physical attacks lower Defense but sharply raise Speed."
182,"Pixilate","pixilate","Normal-type moves become Fairy-type and deal 20% more damage."
201,"Berserk","berserk","Boosts Sp. Atk by 1 when HP drops to half or below."
245,"Sand Spit","sand-spit","The Pokemon creates a sandstorm when it's hit by an attack."
257,"Coil","coil","Raises Attack, Defense, and Accuracy."
258,"Blaze","blaze","Powers up Fire-type moves when the Pokemon's HP is low."
259,"Torrent","torrent","Powers up Water-type moves when the Pokemon's HP is low."
277,"Cud Chew","cud-chew","When the Pokemon eats a Berry, it will eat the same Berry again at the end of the next turn."
278,"Pressure","pressure","Depletes the PP of the opponent's move by 2 instead of 1 when hit."
279,"Unnerve","unnerve","Makes the opposing Pokemon too nervous to eat its held Berry."
280,"Mirror Armor","mirror-armor","Bounces back only the stat-lowering effects that the Pokemon receives."
281,"Own Tempo","own-tempo","Prevents the Pokemon from becoming confused."
282,"Ice Body","ice-body","The Pokemon gradually regains HP in a hailstorm."
283,"Scrappy","scrappy","Enables the Pokemon to hit Ghost-type Pokemon with Normal- and Fighting-type moves."
284,"Soundproof","soundproof",""
285,"Super Luck","super-luck",""
286,"Stance Change","stance-change",""
287,"Magic Guard","magic-guard",""
288,"Sweet Veil","sweet-veil",""
289,"Aroma Veil","aroma-veil",""
290,"Natural Cure","natural-cure",""
291,"Cloud Nine","cloud-nine",""
292,"Static","static",""
293,"Plus","plus",""
294,"Ripen","ripen",""
295,"Gluttony","gluttony",""
296,"Thick Fat","thick-fat",""
297,"Water Bubble","water-bubble",""
298,"Water Absorb","water-absorb",""
299,"Stamina","stamina",""
300,"Stalwart","stalwart",""
301,"Swarm","swarm",""
302,"Insomnia","insomnia",""
303,"Sniper","sniper",""
304,"Healer","healer",""
305,"Regenerator","regenerator",""
306,"Refrigerate","refrigerate",""
307,"Huge Power","huge-power",""
308,"Sap Sipper","sap-sipper",""
309,"Frisk","frisk",""
310,"Cursed Body","cursed-body",""
311,"Swift Swim","swift-swim",""
312,"Adaptability","adaptability",""
313,"Mold Breaker","mold-breaker",""
314,"Slush Rush","slush-rush",""
315,"Electromorphosis","electromorphosis",""
316,"Damp","damp",""
317,"Rain Dish","rain-dish",""
318,"Magma Armor","magma-armor",""
319,"Solid Rock","solid-rock",""
320,"Forecast","forecast",""
321,"Flame Body","flame-body",""
322,"Infiltrator","infiltrator",""
323,"Solar Power","solar-power",""
324,"Bulletproof","bulletproof",""
325,"Levitate","levitate",""
326,"Mega Launcher","mega-launcher",""
327,"Unaware","unaware",""
328,"Mummy","mummy",""
329,"Guts","guts",""
330,"Hyper Cutter","hyper-cutter",""
331,"Cheek Pouch","cheek-pouch",""
332,"Pickup","pickup",""
333,"Magician","magician",""
334,"Limber","limber",""
335,"Imposter","imposter",""
336,"Clear Body","clear-body",""
337,"Reckless","reckless",""
338,"Motor Drive","motor-drive",""
339,"Competitive","competitive",""
340,"Opportunist","opportunist",""
341,"Speed Boost","speed-boost",""
342,"Magic Bounce","magic-bounce",""
343,"Sand Rush","sand-rush",""
344,"Sand Force","sand-force",""
345,"Armor Tail","armor-tail",""
346,"Hustle","hustle",""
347,"Flower Veil","flower-veil",""
348,"Symbiosis","symbiosis",""
349,"Overcoat","overcoat",""
350,"Fur Coat","fur-coat",""
351,"Steadfast","steadfast",""
352,"Sharpness","sharpness",""
353,"Stench","stench",""
354,"Aftermath","aftermath",""
355,"Rough Skin","rough-skin",""
356,"Purifying Salt","purifying-salt",""
357,"Moody","moody",""
358,"Toxic Debris","toxic-debris",""
359,"Corrosion","corrosion",""
360,"Poison Heal","poison-heal",""
361,"Hydration","hydration",""
362,"Gooey","gooey",""
363,"Protean","protean",""
364,"Moxie","moxie",""
365,"Anticipation","anticipation",""
366,"Unburden","unburden",""
367,"Dry Skin","dry-skin",""
368,"Early Bird","early-bird",""
369,"Supersweet Syrup","supersweet-syrup",""
370,"Sticky Hold","sticky-hold",""
371,"Volt Absorb","volt-absorb",""
372,"Quick Feet","quick-feet",""
373,"Defiant","defiant",""
374,"Supreme Overlord","supreme-overlord",""
375,"Leaf Guard","leaf-guard",""
376,"Chlorophyll","chlorophyll",""
377,"Rivalry","rivalry",""
378,"Keen Eye","keen-eye",""
379,"Oblivious","oblivious",""
380,"Lightning Rod","lightning-rod",""
381,"Minus","minus",""
382,"Pure Power","pure-power",""
383,"Telepathy","telepathy",""
384,"Marvel Scale","marvel-scale",""
385,"Tangled Feet","tangled-feet",""
386,"Screen Cleaner","screen-cleaner",""
387,"Earth Eater","earth-eater",""
388,"Zero To Hero","zero-to-hero",""
389,"Receiver","receiver",""
390,"Drizzle","drizzle",""
391,"Big Pecks","big-pecks",""
392,"Liquid Voice","liquid-voice",""
393,"Poison Point","poison-point",""
394,"Technician","technician",""
395,"Wandering Spirit","wandering-spirit",""
396,"Stall","stall",""
397,"Shell Armor","shell-armor",""
398,"Light Metal","light-metal",""
399,"Contrary","contrary",""
400,"Hospitality","hospitality",""
401,"Heatproof","heatproof",""
402,"Poison Touch","poison-touch",""
403,"Immunity","immunity",""
404,"Illuminate","illuminate",""
405,"Analytic","analytic",""
406,"Gale Wings","gale-wings",""
407,"Pickpocket","pickpocket",""
408,"White Smoke","white-smoke",""
409,"Skill Link","skill-link",""
410,"Merciless","merciless",""
411,"Harvest","harvest",""
412,"Queenly Majesty","queenly-majesty",""
413,"Strong Jaw","strong-jaw",""
414,"Shield Dust","shield-dust",""
415,"Compound Eyes","compound-eyes",""
416,"Friend Guard","friend-guard",""
417,"Illusion","illusion",""
418,"Disguise","disguise",""
419,"Hunger Switch","hunger-switch",""
420,"Tough Claws","tough-claws",""
421,"Vital Spirit","vital-spirit",""
422,"Surge Surfer","surge-surfer",""
423,"Quick Draw","quick-draw",""
424,"Curious Medicine","curious-medicine",""
425,"Mimicry","mimicry",""
