"species_slug","move_slug"
"abomasnow","aurora-veil"
"abomasnow","avalanche"
"abomasnow","blizzard"
"abomasnow","body-press"
"abomasnow","body-slam"
"abomasnow","brick-break"
"abomasnow","bulldoze"
"abomasnow","bullet-seed"
"abomasnow","chilling-water"
"abomasnow","curse"
"abomasnow","double-edge"
"abomasnow","earth-power"
"abomasnow","earthquake"
"abomasnow","endure"
"abomasnow","energy-ball"
"abomasnow","facade"
"abomasnow","fling"
"abomasnow","focus-blast"
"abomasnow","focus-punch"
"abomasnow","frost-breath"
"abomasnow","giga-drain"
"abomasnow","giga-impact"
"abomasnow","grass-knot"
"abomasnow","grassy-glide"
"abomasnow","growth"
"abomasnow","hard-press"
"abomasnow","helping-hand"
"abomasnow","hyper-beam"
"abomasnow","ice-beam"
"abomasnow","ice-hammer"
"abomasnow","ice-punch"
"abomasnow","ice-shard"
"abomasnow","ice-spinner"
"abomasnow","icicle-spear"
"abomasnow","icy-wind"
"abomasnow","ingrain"
"abomasnow","iron-tail"
"abomasnow","leaf-storm"
"abomasnow","leech-seed"
"abomasnow","low-kick"
"abomasnow","mega-kick"
"abomasnow","mud-slap"
"abomasnow","outrage"
"abomasnow","protect"
"abomasnow","rain-dance"
"abomasnow","rest"
"abomasnow","rock-slide"
"abomasnow","rock-tomb"
"abomasnow","round"
"abomasnow","scary-face"
"abomasnow","seed-bomb"
"abomasnow","shadow-ball"
"abomasnow","sheer-cold"
"abomasnow","sleep-talk"
"abomasnow","snore"
"abomasnow","snowscape"
"abomasnow","solar-beam"
"abomasnow","stomping-tantrum"
"abomasnow","substitute"
"abomasnow","swagger"
"abomasnow","swords-dance"
"abomasnow","trailblaze"
"abomasnow","water-pulse"
"abomasnow","weather-ball"
"abomasnow","wood-hammer"
"absol","aerial-ace"
"absol","air-slash"
"absol","assurance"
"absol","attract"
"absol","baton-pass"
"absol","bite"
"absol","blizzard"
"absol","body-slam"
"absol","bounce"
"absol","brutal-swing"
"absol","calm-mind"
"absol","close-combat"
"absol","confuse-ray"
"absol","curse"
"absol","dark-pulse"
"absol","detect"
"absol","double-edge"
"absol","double-team"
"absol","endure"
"absol","facade"
"absol","feint"
"absol","fire-blast"
"absol","flamethrower"
"absol","focus-energy"
"absol","foul-play"
"absol","future-sight"
"absol","giga-impact"
"absol","hex"
"absol","hyper-beam"
"absol","ice-beam"
"absol","icy-wind"
"absol","iron-tail"
"absol","knock-off"
"absol","mean-look"
"absol","megahorn"
"absol","night-slash"
"absol","payback"
"absol","perish-song"
"absol","phantom-force"
"absol","play-rough"
"absol","protect"
"absol","psycho-cut"
"absol","quick-attack"
"absol","rain-dance"
"absol","rest"
"absol","rock-slide"
"absol","rock-tomb"
"absol","round"
"absol","sandstorm"
"absol","shadow-ball"
"absol","shadow-claw"
"absol","shadow-sneak"
"absol","sleep-talk"
"absol","snarl"
"absol","snore"
"absol","stone-edge"
"absol","substitute"
"absol","sucker-punch"
"absol","sunny-day"
"absol","superpower"
"absol","swords-dance"
"absol","taunt"
"absol","thief"
"absol","throat-chop"
"absol","thunder"
"absol","thunder-wave"
"absol","thunderbolt"
"absol","trailblaze"
"absol","will-o-wisp"
"absol","x-scissor"
"absol","zen-headbutt"
"aegislash","aerial-ace"
"aegislash","air-slash"
"aegislash","attract"
"aegislash","block"
"aegislash","brick-break"
"aegislash","brutal-swing"
"aegislash","close-combat"
"aegislash","destiny-bond"
"aegislash","double-hit"
"aegislash","endure"
"aegislash","facade"
"aegislash","flash-cannon"
"aegislash","giga-impact"
"aegislash","gyro-ball"
"aegislash","head-smash"
"aegislash","hyper-beam"
"aegislash","iron-defense"
"aegislash","iron-head"
"aegislash","kings-shield"
"aegislash","metal-sound"
"aegislash","night-slash"
"aegislash","poltergeist"
"aegislash","power-trick"
"aegislash","protect"
"aegislash","psycho-cut"
"aegislash","rain-dance"
"aegislash","reflect"
"aegislash","rest"
"aegislash","reversal"
"aegislash","rock-slide"
"aegislash","round"
"aegislash","sacred-sword"
"aegislash","screech"
"aegislash","shadow-ball"
"aegislash","shadow-claw"
"aegislash","shadow-sneak"
"aegislash","sleep-talk"
"aegislash","snore"
"aegislash","solar-blade"
"aegislash","steel-beam"
"aegislash","substitute"
"aegislash","sunny-day"
"aegislash","swords-dance"
"aegislash","wide-guard"
"aegislash","zen-headbutt"
"aerodactyl","aerial-ace"
"aerodactyl","agility"
"aerodactyl","ancient-power"
"aerodactyl","assurance"
"aerodactyl","attract"
"aerodactyl","bite"
"aerodactyl","brutal-swing"
"aerodactyl","bulldoze"
"aerodactyl","crunch"
"aerodactyl","curse"
"aerodactyl","dragon-claw"
"aerodactyl","dragon-dance"
"aerodactyl","dragon-pulse"
"aerodactyl","dual-wingbeat"
"aerodactyl","earth-power"
"aerodactyl","earthquake"
"aerodactyl","endure"
"aerodactyl","facade"
"aerodactyl","fire-blast"
"aerodactyl","fire-fang"
"aerodactyl","flamethrower"
"aerodactyl","fly"
"aerodactyl","giga-impact"
"aerodactyl","heat-wave"
"aerodactyl","hurricane"
"aerodactyl","hyper-beam"
"aerodactyl","ice-fang"
"aerodactyl","iron-head"
"aerodactyl","iron-tail"
"aerodactyl","meteor-beam"
"aerodactyl","payback"
"aerodactyl","protect"
"aerodactyl","psychic-fangs"
"aerodactyl","rain-dance"
"aerodactyl","rest"
"aerodactyl","roar"
"aerodactyl","rock-blast"
"aerodactyl","rock-slide"
"aerodactyl","rock-tomb"
"aerodactyl","roost"
"aerodactyl","round"
"aerodactyl","sandstorm"
"aerodactyl","scary-face"
"aerodactyl","sky-attack"
"aerodactyl","sleep-talk"
"aerodactyl","snore"
"aerodactyl","stealth-rock"
"aerodactyl","steel-wing"
"aerodactyl","stone-edge"
"aerodactyl","substitute"
"aerodactyl","sunny-day"
"aerodactyl","swagger"
"aerodactyl","tailwind"
"aerodactyl","taunt"
"aerodactyl","thief"
"aerodactyl","thunder-fang"
"aerodactyl","whirlwind"
"aerodactyl","wide-guard"
"aggron","ancient-power"
"aggron","attract"
"aggron","avalanche"
"aggron","blizzard"
"aggron","body-press"
"aggron","body-slam"
"aggron","brick-break"
"aggron","brutal-swing"
"aggron","bulldoze"
"aggron","crunch"
"aggron","curse"
"aggron","dark-pulse"
"aggron","dig"
"aggron","double-edge"
"aggron","dragon-claw"
"aggron","dragon-pulse"
"aggron","dragon-rush"
"aggron","earth-power"
"aggron","earthquake"
"aggron","endeavor"
"aggron","endure"
"aggron","facade"
"aggron","fire-blast"
"aggron","fire-punch"
"aggron","flamethrower"
"aggron","flash-cannon"
"aggron","fling"
"aggron","focus-blast"
"aggron","giga-impact"
"aggron","head-smash"
"aggron","heavy-slam"
"aggron","high-horsepower"
"aggron","hydro-pump"
"aggron","hyper-beam"
"aggron","ice-beam"
"aggron","ice-punch"
"aggron","icy-wind"
"aggron","iron-defense"
"aggron","iron-head"
"aggron","iron-tail"
"aggron","low-kick"
"aggron","mega-kick"
"aggron","metal-burst"
"aggron","metal-sound"
"aggron","meteor-beam"
"aggron","mud-slap"
"aggron","outrage"
"aggron","payback"
"aggron","protect"
"aggron","rain-dance"
"aggron","rest"
"aggron","reversal"
"aggron","roar"
"aggron","rock-blast"
"aggron","rock-slide"
"aggron","rock-tomb"
"aggron","round"
"aggron","sand-tomb"
"aggron","sandstorm"
"aggron","scary-face"
"aggron","screech"
"aggron","shadow-claw"
"aggron","sleep-talk"
"aggron","smart-strike"
"aggron","snore"
"aggron","solar-beam"
"aggron","stealth-rock"
"aggron","steel-beam"
"aggron","steel-roller"
"aggron","stomping-tantrum"
"aggron","stone-edge"
"aggron","substitute"
"aggron","sunny-day"
"aggron","superpower"
"aggron","surf"
"aggron","swagger"
"aggron","taunt"
"aggron","thunder"
"aggron","thunder-punch"
"aggron","thunder-wave"
"aggron","thunderbolt"
"aggron","uproar"
"aggron","whirlpool"
"alakazam","ally-switch"
"alakazam","attract"
"alakazam","body-slam"
"alakazam","calm-mind"
"alakazam","dazzling-gleam"
"alakazam","disable"
"alakazam","double-team"
"alakazam","drain-punch"
"alakazam","encore"
"alakazam","endure"
"alakazam","energy-ball"
"alakazam","expanding-force"
"alakazam","facade"
"alakazam","fire-punch"
"alakazam","fling"
"alakazam","focus-blast"
"alakazam","foul-play"
"alakazam","future-sight"
"alakazam","giga-impact"
"alakazam","grass-knot"
"alakazam","guard-split"
"alakazam","guard-swap"
"alakazam","hyper-beam"
"alakazam","ice-punch"
"alakazam","imprison"
"alakazam","iron-tail"
"alakazam","light-screen"
"alakazam","magic-room"
"alakazam","mega-kick"
"alakazam","nasty-plot"
"alakazam","power-swap"
"alakazam","protect"
"alakazam","psychic"
"alakazam","psychic-terrain"
"alakazam","psycho-cut"
"alakazam","psyshock"
"alakazam","rain-dance"
"alakazam","recover"
"alakazam","reflect"
"alakazam","rest"
"alakazam","role-play"
"alakazam","round"
"alakazam","safeguard"
"alakazam","shadow-ball"
"alakazam","skill-swap"
"alakazam","sleep-talk"
"alakazam","snore"
"alakazam","speed-swap"
"alakazam","stored-power"
"alakazam","substitute"
"alakazam","sunny-day"
"alakazam","taunt"
"alakazam","thief"
"alakazam","thunder-punch"
"alakazam","thunder-wave"
"alakazam","tri-attack"
"alakazam","trick"
"alakazam","trick-room"
"alakazam","wonder-room"
"alakazam","zen-headbutt"
"alcremie","acid-armor"
"alcremie","alluring-voice"
"alcremie","aromatic-mist"
"alcremie","attract"
"alcremie","baby-doll-eyes"
"alcremie","calm-mind"
"alcremie","charm"
"alcremie","dazzling-gleam"
"alcremie","decorate"
"alcremie","drain-punch"
"alcremie","draining-kiss"
"alcremie","encore"
"alcremie","endeavor"
"alcremie","endure"
"alcremie","energy-ball"
"alcremie","entrainment"
"alcremie","facade"
"alcremie","fake-tears"
"alcremie","fling"
"alcremie","giga-drain"
"alcremie","giga-impact"
"alcremie","helping-hand"
"alcremie","hyper-beam"
"alcremie","imprison"
"alcremie","last-resort"
"alcremie","light-screen"
"alcremie","magic-room"
"alcremie","misty-explosion"
"alcremie","misty-terrain"
"alcremie","mystical-fire"
"alcremie","pain-split"
"alcremie","play-rough"
"alcremie","protect"
"alcremie","psych-up"
"alcremie","psychic"
"alcremie","psyshock"
"alcremie","recover"
"alcremie","rest"
"alcremie","round"
"alcremie","safeguard"
"alcremie","sleep-talk"
"alcremie","snore"
"alcremie","solar-beam"
"alcremie","stored-power"
"alcremie","substitute"
"alcremie","sweet-kiss"
"alcremie","sweet-scent"
"alcremie","tri-attack"
"alcremie","wonder-room"
"altaria","acrobatics"
"altaria","aerial-ace"
"altaria","agility"
"altaria","alluring-voice"
"altaria","body-slam"
"altaria","brave-bird"
"altaria","breaking-swipe"
