"id","name","slug","description","is_banned","vp_cost"
1,"Black Belt","black-belt","An item to be held by a Pokémon. This belt helps with focus and boosts the power of the holder's Fighting-type moves.",0,700
2,"Black Glasses","black-glasses","An item to be held by a Pokémon. It's a pair of shady- looking glasses that boost the power of the holder's Dark-type moves.",0,700
3,"Bright Powder","bright-powder","An item to be held by a Pokémon. This glittery powder casts a tricky glare that lowers the accuracy of opposing Pokémon's moves.",0,700
4,"Charcoal","charcoal","An item to be held by a Pokémon. It's a combustible fuel that boosts the power of the holder's Fire-type moves.",0,700
5,"Choice Scarf","choice-scarf","An item to be held by a Pokémon. This curious scarf boosts the holder's Speed stat but only allows the use of a single move.",0,700
6,"Dragon Fang","dragon-fang","An item to be held by a Pokémon. This hard, sharp fang boosts the power of the holder's Dragon-type moves.",0,700
7,"Fairy Feather","fairy-feather","An item to be held by a Pokémon. This feather, which gleams faintly when hit by light, boosts the power of the holder's Fairy-type moves.",0,700
8,"Focus Band","focus-band","An item to be held by a Pokémon. When the holder is hit with a move that should knock it out, it may be able to endure with 1 HP.",0,700
9,"Focus Sash","focus-sash","An item to be held by a Pokémon. If the holder has full HP and it is hit with a move that should knock it out, it will endure with 1 HPbut only once.",0,700
10,"Hard Stone","hard-stone","An item to be held by a Pokémon. It's a durable stone that boosts the power of the holder's Rock-type moves.",0,700
11,"King's Rock","kings-rock","An item to be held by a Pokémon. It may cause the target to flinch whenever the holder successfully inflicts damage on them with an attack.",0,700
12,"Leftovers","leftovers","An item to be held by a Pokémon. It slowly but steadily restores the holder's HP.",0,700
13,"Light Ball","light-ball","An item to be held by Pikachu. It's a mysterious orb that boosts Pikachu's Attack and Sp. Atk stats.",0,1000
14,"Magnet","magnet","An item to be held by a Pokémon. It's a powerful magnet that boosts the power of the holder's Electric-type moves.",0,700
15,"Mental Herb","mental-herb","An item to be held by a Pokémon. The holder will be able to shake off move-binding effects to move freely but only once.",0,1000
16,"Metal Coat","metal-coat","An item to be held by a Pokémon. It's a special metallic coating that boosts the power of the holder's Steel-type moves.",0,700
17,"Miracle Seed","miracle-seed","An item to be held by a Pokémon. It's a seed imbued with life force that boosts the power of the holder's Grass-type moves.",0,700
