"species_slug","move_slug"
"arcanine-hisuian","flare-blitz"
"arcanine-hisuian","flamethrower"
"arcanine-hisuian","fire-blast"
"arcanine-hisuian","bite"
"arcanine-hisuian","rock-slide"
"arcanine-hisuian","earthquake"
"arcanine-hisuian","morning-sun"
"arcanine-hisuian","protect"
"arcanine-hisuian","fire-punch"
"arcanine-hisuian","thunder-fang"
"arcanine-hisuian","extreme-speed"
"dragonite","dragon-dance"
"dragonite","extreme-speed"
"dragonite","outrage"
"dragonite","hurricane"
"dragonite","earthquake"
"dragonite","ice-beam"
"dragonite","fire-punch"
"dragonite","ice-punch"
"dragonite","rock-slide"
"dragonite","protect"
"tyranitar","sandstorm"
"tyranitar","crunch"
"tyranitar","stone-edge"
"tyranitar","rock-slide"
"tyranitar","earthquake"
"tyranitar","ice-beam"
"tyranitar","protect"
"aggron","iron-defense"
"aggron","body-press"
"aggron","heavy-slam"
"aggron","rock-slide"
"aggron","earthquake"
"aggron","protect"
"sylveon","hyper-voice"
"sylveon","moonblast"
"sylveon","calm-mind"
"sylveon","psychic"
"sylveon","mystical-fire"
"sylveon","protect"
"sandaconda","iron-defense"
"sandaconda","body-press"
"sandaconda","coil"
"sandaconda","sand-tomb"
"sandaconda","earthquake"
"sandaconda","stomping-tantrum"
"sandaconda","glare"
"sandaconda","protect"
"tyranitar","knock-off"
"tyranitar","fire-punch"
"tyranitar","dragon-dance"
"sandaconda","minimize"
"dragonite","draco-meteor"
"dragonite","heat-wave"
"arcanine-hisuian","play-rough"
"arcanine-hisuian","bulldoze"
"aggron","sandstorm"
"whimsicott","moonblast"
"whimsicott","giga-drain"
"whimsicott","leech-seed"
"whimsicott","memento"
"drampa","draco-meteor"
"drampa","hyper-voice"
"drampa","thunderbolt"
"drampa","flamethrower"
