"pokemon_slug","stone_name","type1_override","type2_override","mega_ability"
"venusaur","Venusaurite","","","Thick Fat"
"charizard","Charizardite X","fire","dragon","Tough Claws"
"charizard","Charizardite Y","","","Drought"
"blastoise","Blastoisinite","","","Mega Launcher"
"alakazam","Alakazite","","","Trace"
"gengar","Gengarite","","","Shadow Tag"
"kangaskhan","Kangaskhanite","","","Parental Bond"
"pinsir","Pinsirite","bug","flying","Aerilate"
"gyarados","Gyaradosite","water","dark","Mold Breaker"
"aerodactyl","Aerodactylite","","","Tough Claws"
"mewtwo","Mewtwonite X","psychic","fighting","Steadfast"
"mewtwo","Mewtwonite Y","","","Insomnia"
"ampharos","Ampharosite","electric","dragon","Mold Breaker"
"scizor","Scizorite","","","Technician"
"heracross","Heracronite","","","Skill Link"
"houndoom","Houndoominite","","","Solar Power"
"tyranitar","Tyranitarite","","","Sand Stream"
"blaziken","Blazikenite","","","Speed Boost"
"gardevoir","Gardevoirite","","","Pixilate"
"mawile","Mawilite","","","Huge Power"
"aggron","Aggronite","steel","","Filter"
"medicham","Medichamite","","","Pure Power"
"manectric","Manectite","","","Intimidate"
"banette","Banettite","","","Prankster"
"absol","Absolite","","","Magic Bounce"
"latias","Latiasite","","","Levitate"
"latios","Latiosite","","","Levitate"
"garchomp","Garchompite","","","Sand Force"
"lucario","Lucarionite","","","Adaptability"
"abomasnow","Abomasite","","","Snow Warning"
"beedrill","Beedrillite","","","Adaptability"
"pidgeot","Pidgeotite","","","No Guard"
"slowbro","Slowbronite","","","Shell Armor"
"steelix","Steelixite","","","Sand Force"
"sceptile","Sceptilite","grass","dragon","Lightning Rod"
"swampert","Swampertite","","","Swift Swim"
"sableye","Sablenite","","","Magic Bounce"
"sharpedo","Sharpedonite","","","Strong Jaw"
"camerupt","Cameruptite","","","Sheer Force"
"altaria","Altarianite","dragon","fairy","Pixilate"
"glalie","Glalitite","","","Refrigerate"
"salamence","Salamencite","","","Aerilate"
"metagross","Metagrossite","","","Tough Claws"
"lopunny","Lopunnite","normal","fighting","Scrappy"
"gallade","Galladite","","","Inner Focus"
"audino","Audinite","normal","fairy","Healer"
"diancie","Diancite","","","Magic Bounce"
"chimecho","Chimechite","","","Levitate"
"clefable","Clefablite","fairy","flying","Magic Bounce"
"victreebel","Victreebelite","","","Innards Out"
"starmie","Starminite","","","Huge Power"
"dragonite","Dragoninite","","","Multiscale"
"meganium","Meganiumite","grass","fairy","Mega Sol"
"feraligatr","Feraligite","water","dragon","Dragonize"
"skarmory","Skarmorite","","","Stalwart"
"froslass","Froslassite","","","Snow Warning"
"emboar","Emboarite","","","Mold Breaker"
"excadrill","Excadrite","","","Piercing Drill"
"chandelure","Chandelurite","","","Infiltrator"
"chesnaught","Chesnaughtite","","","Bulletproof"
"delphox","Delphoxite","","","Levitate"
"greninja","Greninjite","","","Protean"
"floette","Floettite","","","Fairy Aura"
"meowstic","Meowsticite","","","Trace"
"hawlucha","Hawluchanite","","","No Guard"
"drampa","Drampanite","","","Berserk"
