"regulation_id","species_slug"
"M-A","venusaur"
"M-A","charizard"
"M-A","blastoise"
"M-A","beedrill"
"M-A","pidgeot"
"M-A","arbok"
"M-A","pikachu"
"M-A","raichu"
"M-A","raichu-alola"
"M-A","clefable"
"M-A","ninetales"
"M-A","ninetales-alola"
"M-A","arcanine"
"M-A","arcanine-hisui"
"M-A","alakazam"
"M-A","machamp"
"M-A","victreebel"
"M-A","slowbro"
"M-A","slowbro-galar"
"M-A","gengar"
"M-A","kangaskhan"
"M-A","starmie"
"M-A","pinsir"
"M-A","tauros"
"M-A","tauros-paldea"
"M-A","tauros-paldea-combat"
"M-A","tauros-paldea-blaze"
"M-A","tauros-paldea-aqua"
"M-A","tauros-paldean-combat-breed"
"M-A","tauros-paldean-blaze-breed"
"M-A","tauros-paldean-aqua-breed"
"M-A","gyarados"
"M-A","ditto"
"M-A","vaporeon"
"M-A","jolteon"
"M-A","flareon"
"M-A","aerodactyl"
"M-A","snorlax"
"M-A","dragonite"
"M-A","meganium"
"M-A","typhlosion"
"M-A","typhlosion-hisui"
"M-A","feraligatr"
"M-A","ariados"
"M-A","ampharos"
"M-A","azumarill"
"M-A","politoed"
"M-A","espeon"
"M-A","umbreon"
"M-A","slowking"
"M-A","slowking-galar"
"M-A","forretress"
"M-A","steelix"
"M-A","scizor"
"M-A","heracross"
"M-A","skarmory"
"M-A","houndoom"
"M-A","tyranitar"
"M-A","pelipper"
"M-A","gardevoir"
"M-A","sableye"
"M-A","aggron"
"M-A","medicham"
"M-A","manectric"
"M-A","sharpedo"
"M-A","camerupt"
"M-A","torkoal"
"M-A","altaria"
"M-A","milotic"
"M-A","castform"
"M-A","banette"
"M-A","chimecho"
"M-A","absol"
"M-A","glalie"
"M-A","torterra"
"M-A","infernape"
"M-A","empoleon"
"M-A","luxray"
"M-A","roserade"
"M-A","rampardos"
"M-A","bastiodon"
"M-A","lopunny"
"M-A","spiritomb"
"M-A","garchomp"
"M-A","lucario"
"M-A","hippowdon"
"M-A","toxicroak"
"M-A","abomasnow"
"M-A","weavile"
"M-A","rhyperior"
"M-A","leafeon"
"M-A","glaceon"
"M-A","gliscor"
"M-A","mamoswine"
"M-A","gallade"
"M-A","froslass"
"M-A","rotom"
"M-A","rotom-heat"
"M-A","rotom-wash"
"M-A","rotom-frost"
"M-A","rotom-fan"
"M-A","rotom-mow"
"M-A","serperior"
"M-A","emboar"
"M-A","samurott"
"M-A","samurott-hisui"
"M-A","watchog"
"M-A","liepard"
"M-A","simisage"
"M-A","simisear"
"M-A","simipour"
"M-A","excadrill"
"M-A","audino"
"M-A","conkeldurr"
"M-A","whimsicott"
"M-A","krookodile"
"M-A","cofagrigus"
"M-A","garbodor"
"M-A","zoroark"
"M-A","zoroark-hisui"
"M-A","reuniclus"
"M-A","vanilluxe"
"M-A","emolga"
"M-A","chandelure"
"M-A","beartic"
"M-A","stunfisk"
"M-A","stunfisk-galar"
"M-A","golurk"
"M-A","hydreigon"
"M-A","volcarona"
"M-A","chesnaught"
"M-A","delphox"
"M-A","greninja"
"M-A","diggersby"
"M-A","talonflame"
"M-A","vivillon"
"M-A","floette"
"M-A","florges"
"M-A","pangoro"
"M-A","furfrou"
"M-A","meowstic"
"M-A","meowstic-male"
"M-A","meowstic-female"
"M-A","aegislash"
"M-A","aegislash-shield"
"M-A","aegislash-blade"
"M-A","aromatisse"
"M-A","slurpuff"
"M-A","clawitzer"
"M-A","heliolisk"
"M-A","tyrantrum"
"M-A","aurorus"
"M-A","sylveon"
"M-A","hawlucha"
"M-A","dedenne"
"M-A","goodra"
"M-A","goodra-hisui"
"M-A","klefki"
"M-A","trevenant"
"M-A","gourgeist"
"M-A","avalugg"
"M-A","avalugg-hisui"
"M-A","noivern"
"M-A","decidueye"
"M-A","decidueye-hisui"
"M-A","incineroar"
"M-A","primarina"
"M-A","toucannon"
"M-A","crabominable"
"M-A","lycanroc"
"M-A","lycanroc-midday"
"M-A","lycanroc-midnight"
"M-A","lycanroc-dusk"
"M-A","toxapex"
"M-A","mudsdale"
"M-A","araquanid"
"M-A","salazzle"
"M-A","tsareena"
"M-A","oranguru"
"M-A","passimian"
"M-A","mimikyu"
"M-A","mimikyu-disguised"
"M-A","drampa"
"M-A","kommo-o"
"M-A","corviknight"
"M-A","flapple"
"M-A","appletun"
"M-A","sandaconda"
"M-A","polteageist"
"M-A","hatterene"
"M-A","mr-rime"
"M-A","runerigus"
"M-A","alcremie"
"M-A","morpeko"
"M-A","dragapult"
"M-A","wyrdeer"
"M-A","kleavor"
"M-A","basculegion"
"M-A","basculegion-male"
"M-A","basculegion-female"
"M-A","sneasler"
"M-A","meowscarada"
"M-A","skeledirge"
"M-A","quaquaval"
"M-A","maushold"
"M-A","garganacl"
"M-A","armarouge"
"M-A","ceruledge"
"M-A","bellibolt"
"M-A","scovillain"
"M-A","espathra"
"M-A","tinkaton"
"M-A","palafin"
"M-A","palafin-hero"
"M-A","orthworm"
"M-A","glimmora"
"M-A","farigiraf"
"M-A","kingambit"
"M-A","sinistcha"
"M-A","archaludon"
"M-A","hydrapple"
