"slug","dex_id","name","form","type1","type2","hp","attack","defense","sp_attack","sp_defense","speed","generation","is_legendary","is_mythical","is_final_evo","is_restricted"
"venusaur",3,"Venusaur","","grass","poison",80,82,83,100,100,80,1,0,0,1,0
"charizard",6,"Charizard","","fire","flying",78,84,78,109,85,100,1,0,0,1,0
"blastoise",9,"Blastoise","","water","",79,83,100,85,105,78,1,0,0,1,0
"beedrill",15,"Beedrill","","bug","poison",65,90,40,45,80,75,1,0,0,1,0
"pidgeot",18,"Pidgeot","","normal","flying",83,80,75,70,70,101,1,0,0,1,0
"arbok",24,"Arbok","","poison","",60,95,69,65,79,80,1,0,0,1,0
"pikachu",25,"Pikachu","","electric","",35,55,40,50,50,90,1,0,0,1,0
"raichu",26,"Raichu","","electric","",60,90,55,90,80,110,1,0,0,1,0
"raichu-alolan",26,"Raichu","Alolan","electric","psychic",60,85,50,95,85,110,1,0,0,1,0
"clefable",36,"Clefable","","fairy","",95,70,73,95,90,60,1,0,0,1,0
"ninetales",38,"Ninetales","","fire","",73,76,75,81,100,100,1,0,0,1,0
"ninetales-alolan",38,"Ninetales","Alolan","ice","fairy",73,67,75,81,100,109,1,0,0,1,0
"arcanine",59,"Arcanine","","fire","",90,110,80,100,80,95,1,0,0,1,0
"arcanine-hisuian",59,"Arcanine","Hisuian","fire","rock",95,115,80,95,80,90,1,0,0,1,0
"alakazam",65,"Alakazam","","psychic","",55,50,45,135,95,120,1,0,0,1,0
"machamp",68,"Machamp","","fighting","",90,130,80,65,85,55,1,0,0,1,0
"victreebel",71,"Victreebel","","grass","poison",80,105,65,100,70,70,1,0,0,1,0
"slowbro",80,"Slowbro","","water","psychic",95,75,110,100,80,30,1,0,0,1,0
"slowbro-galarian",80,"Slowbro","Galarian","poison","psychic",95,100,95,100,70,30,1,0,0,1,0
"gengar",94,"Gengar","","ghost","poison",60,65,60,130,75,110,1,0,0,1,0
"kangaskhan",115,"Kangaskhan","","normal","",105,95,80,40,80,90,1,0,0,1,0
"starmie",121,"Starmie","","water","psychic",60,75,85,100,85,115,1,0,0,1,0
"pinsir",127,"Pinsir","","bug","",65,125,100,55,70,85,1,0,0,1,0
"tauros",128,"Tauros","","normal","",75,100,95,40,70,110,1,0,0,1,0
"tauros-paldean-combat",128,"Tauros","Paldean-Combat","fighting","",75,110,105,30,70,100,1,0,0,1,0
"tauros-paldean-blaze",128,"Tauros","Paldean-Blaze","fighting","fire",75,110,105,30,70,100,1,0,0,1,0
"tauros-paldean-aqua",128,"Tauros","Paldean-Aqua","fighting","water",75,110,105,30,70,100,1,0,0,1,0
"gyarados",130,"Gyarados","","water","flying",95,125,79,60,100,81,1,0,0,1,0
"ditto",132,"Ditto","","normal","",48,48,48,48,48,48,1,0,0,1,0
"vaporeon",134,"Vaporeon","","water","",130,65,60,110,95,65,1,0,0,1,0
"jolteon",135,"Jolteon","","electric","",65,65,60,110,95,130,1,0,0,1,0
"flareon",136,"Flareon","","fire","",65,130,60,95,110,65,1,0,0,1,0
"aerodactyl",142,"Aerodactyl","","rock","flying",80,105,65,60,75,130,1,0,0,1,0
"snorlax",143,"Snorlax","","normal","",160,110,65,65,110,30,1,0,0,1,0
"dragonite",149,"Dragonite","","dragon","flying",91,134,95,100,100,80,1,0,0,1,0
"meganium",154,"Meganium","","grass","",80,82,100,83,100,80,2,0,0,1,0
"typhlosion",157,"Typhlosion","","fire","",78,84,78,109,85,100,2,0,0,1,0
"typhlosion-hisuian",157,"Typhlosion","Hisuian","fire","ghost",73,84,78,119,85,95,2,0,0,1,0
"feraligatr",160,"Feraligatr","","water","",85,105,100,79,83,78,2,0,0,1,0
"ariados",168,"Ariados","","bug","poison",70,90,70,60,70,40,2,0,0,1,0
"ampharos",181,"Ampharos","","electric","",90,75,85,115,90,55,2,0,0,1,0
"azumarill",184,"Azumarill","","water","fairy",100,50,80,60,80,50,2,0,0,1,0
"politoed",186,"Politoed","","water","",90,75,75,90,100,70,2,0,0,1,0
"espeon",196,"Espeon","","psychic","",65,65,60,130,95,110,2,0,0,1,0
"umbreon",197,"Umbreon","","dark","",95,65,110,60,130,65,2,0,0,1,0
"slowking",199,"Slowking","","water","psychic",95,75,80,100,110,30,2,0,0,1,0
"slowking-galarian",199,"Slowking","Galarian","poison","psychic",95,65,80,110,110,30,2,0,0,1,0
"forretress",205,"Forretress","","bug","steel",75,90,140,60,60,40,2,0,0,1,0
"steelix",208,"Steelix","","steel","ground",75,85,200,55,65,30,2,0,0,1,0
"scizor",212,"Scizor","","bug","steel",70,130,100,55,80,65,2,0,0,1,0
"heracross",214,"Heracross","","bug","fighting",80,125,75,40,95,85,2,0,0,1,0
"skarmory",227,"Skarmory","","steel","flying",65,80,140,40,70,70,2,0,0,1,0
"houndoom",229,"Houndoom","","dark","fire",75,90,50,110,80,95,2,0,0,1,0
"tyranitar",248,"Tyranitar","","rock","dark",100,134,110,95,100,61,2,0,0,1,0
"pelipper",279,"Pelipper","","water","flying",60,50,100,95,70,65,3,0,0,1,0
"gardevoir",282,"Gardevoir","","psychic","fairy",68,65,65,125,115,80,3,0,0,1,0
"sableye",302,"Sableye","","dark","ghost",50,75,75,65,65,50,3,0,0,1,0
"aggron",306,"Aggron","","steel","rock",70,110,180,60,60,50,3,0,0,1,0
"medicham",308,"Medicham","","fighting","psychic",60,60,75,60,75,80,3,0,0,1,0
"manectric",310,"Manectric","","electric","",70,75,60,105,60,105,3,0,0,1,0
"sharpedo",319,"Sharpedo","","water","dark",70,120,40,95,40,95,3,0,0,1,0
"camerupt",323,"Camerupt","","fire","ground",70,100,70,105,75,40,3,0,0,1,0
"torkoal",324,"Torkoal","","fire","",70,85,140,85,70,20,3,0,0,1,0
"altaria",334,"Altaria","","dragon","flying",75,70,90,70,105,80,3,0,0,1,0
"milotic",350,"Milotic","","water","",95,60,79,100,125,81,3,0,0,1,0
"castform",351,"Castform","","normal","",70,70,70,70,70,70,3,0,0,1,0
"banette",354,"Banette","","ghost","",64,115,65,83,63,65,3,0,0,1,0
"chimecho",358,"Chimecho","","psychic","",75,50,80,95,90,65,3,0,0,1,0
"absol",359,"Absol","","dark","",65,130,60,75,60,75,3,0,0,1,0
"glalie",362,"Glalie","","ice","",80,80,80,80,80,80,3,0,0,1,0
"torterra",389,"Torterra","","grass","ground",95,109,105,75,85,56,4,0,0,1,0
"infernape",392,"Infernape","","fire","fighting",76,104,71,104,71,108,4,0,0,1,0
"empoleon",395,"Empoleon","","water","steel",84,86,88,111,101,60,4,0,0,1,0
"luxray",405,"Luxray","","electric","",80,120,79,95,79,70,4,0,0,1,0
"roserade",407,"Roserade","","grass","poison",60,70,65,125,105,90,4,0,0,1,0
"rampardos",409,"Rampardos","","rock","",97,165,60,65,50,58,4,0,0,1,0
"bastiodon",411,"Bastiodon","","rock","steel",60,52,168,47,138,30,4,0,0,1,0
"lopunny",428,"Lopunny","","normal","",65,76,84,54,96,105,4,0,0,1,0
"spiritomb",442,"Spiritomb","","ghost","dark",50,92,108,92,108,35,4,0,0,1,0
"garchomp",445,"Garchomp","","dragon","ground",108,130,95,80,85,102,4,0,0,1,0
"lucario",448,"Lucario","","fighting","steel",70,110,70,115,70,90,4,0,0,1,0
"hippowdon",450,"Hippowdon","","ground","",108,112,118,68,72,47,4,0,0,1,0
"toxicroak",454,"Toxicroak","","poison","fighting",83,106,65,86,65,85,4,0,0,1,0
"abomasnow",460,"Abomasnow","","grass","ice",90,92,75,92,85,60,4,0,0,1,0
"weavile",461,"Weavile","","dark","ice",70,120,65,45,85,125,4,0,0,1,0
"rhyperior",464,"Rhyperior","","ground","rock",115,140,130,55,55,40,4,0,0,1,0
"leafeon",470,"Leafeon","","grass","",65,110,130,60,65,95,4,0,0,1,0
"glaceon",471,"Glaceon","","ice","",65,60,110,130,95,65,4,0,0,1,0
"gliscor",472,"Gliscor","","ground","flying",75,95,125,45,75,95,4,0,0,1,0
"mamoswine",473,"Mamoswine","","ice","ground",110,130,80,70,60,80,4,0,0,1,0
"gallade",475,"Gallade","","psychic","fighting",68,125,65,65,115,80,4,0,0,1,0
"froslass",478,"Froslass","","ice","ghost",70,80,70,80,70,110,4,0,0,1,0
"rotom",479,"Rotom","","electric","ghost",50,50,77,95,77,91,4,0,0,1,0
"rotom-heat",479,"Rotom","Heat","electric","fire",50,65,107,105,107,86,4,0,0,1,0
"rotom-wash",479,"Rotom","Wash","electric","water",50,65,107,105,107,86,4,0,0,1,0
"rotom-frost",479,"Rotom","Frost","electric","ice",50,65,107,105,107,86,4,0,0,1,0
"rotom-fan",479,"Rotom","Fan","electric","flying",50,65,107,105,107,86,4,0,0,1,0
"rotom-mow",479,"Rotom","Mow","electric","grass",50,65,107,105,107,86,4,0,0,1,0
"serperior",497,"Serperior","","grass","",75,75,95,75,95,113,5,0,0,1,0
"emboar",500,"Emboar","","fire","fighting",110,123,65,100,65,65,5,0,0,1,0
"samurott",503,"Samurott","","water","",95,100,85,108,70,70,5,0,0,1,0
"samurott-hisuian",503,"Samurott","Hisuian","water","dark",90,108,80,100,65,85,5,0,0,1,0
"watchog",505,"Watchog","","normal","",60,85,69,60,69,77,5,0,0,1,0
"liepard",510,"Liepard","","dark","",64,88,50,88,50,106,5,0,0,1,0
"simisage",512,"Simisage","","grass","",75,98,63,98,63,101,5,0,0,1,0
"simisear",514,"Simisear","","fire","",75,98,63,98,63,101,5,0,0,1,0
"simipour",516,"Simipour","","water","",75,98,63,98,63,101,5,0,0,1,0
"excadrill",530,"Excadrill","","ground","steel",110,135,60,50,65,88,5,0,0,1,0
"audino",531,"Audino","","normal","",103,60,86,60,86,50,5,0,0,1,0
"conkeldurr",534,"Conkeldurr","","fighting","",105,140,95,55,65,45,5,0,0,1,0
"whimsicott",547,"Whimsicott","","grass","fairy",60,67,85,77,75,116,5,0,0,1,0
"krookodile",553,"Krookodile","","ground","dark",95,117,80,65,70,92,5,0,0,1,0
"cofagrigus",563,"Cofagrigus","","ghost","",58,50,145,95,105,30,5,0,0,1,0
"garbodor",569,"Garbodor","","poison","",80,95,82,60,82,75,5,0,0,1,0
"zoroark",571,"Zoroark","","dark","",60,105,60,120,60,105,5,0,0,1,0
"zoroark-hisuian",571,"Zoroark","Hisuian","normal","ghost",55,100,60,120,60,105,5,0,0,1,0
"reuniclus",579,"Reuniclus","","psychic","",110,65,75,125,85,30,5,0,0,1,0
"vanilluxe",584,"Vanilluxe","","ice","",71,95,85,110,95,79,5,0,0,1,0
"emolga",587,"Emolga","","electric","flying",55,75,60,75,60,103,5,0,0,1,0
"chandelure",609,"Chandelure","","ghost","fire",60,55,90,145,90,80,5,0,0,1,0
"beartic",614,"Beartic","","ice","",95,130,80,70,80,50,5,0,0,1,0
"stunfisk",618,"Stunfisk","","ground","electric",109,66,84,81,99,32,5,0,0,1,0
"stunfisk-galarian",618,"Stunfisk","Galarian","ground","steel",109,81,99,66,84,32,5,0,0,1,0
"golurk",623,"Golurk","","ground","ghost",89,124,80,55,80,55,5,0,0,1,0
"hydreigon",635,"Hydreigon","","dark","dragon",92,105,90,125,90,98,5,0,0,1,0
"volcarona",637,"Volcarona","","bug","fire",85,60,65,135,105,100,5,0,0,1,0
"chesnaught",652,"Chesnaught","","grass","fighting",88,107,122,74,75,64,6,0,0,1,0
"delphox",655,"Delphox","","fire","psychic",75,69,72,114,100,104,6,0,0,1,0
"greninja",658,"Greninja","","water","dark",72,95,67,103,71,122,6,0,0,1,0
"diggersby",660,"Diggersby","","normal","ground",85,56,77,50,77,78,6,0,0,1,0
"talonflame",663,"Talonflame","","fire","flying",78,81,71,74,69,126,6,0,0,1,0
"vivillon",666,"Vivillon","","bug","flying",80,52,50,90,50,89,6,0,0,1,0
"floette-eternal",670,"Floette","Eternal","fairy","",74,65,67,101,114,92,6,0,0,1,0
"florges",671,"Florges","","fairy","",78,65,68,112,154,75,6,0,0,1,0
"pangoro",675,"Pangoro","","fighting","dark",95,124,78,69,71,58,6,0,0,1,0
"furfrou",676,"Furfrou","","normal","",75,80,60,65,90,102,6,0,0,1,0
"meowstic-male",678,"Meowstic","Male","psychic","",74,48,76,83,81,104,6,0,0,1,0
"meowstic-female",678,"Meowstic","Female","psychic","",74,48,76,83,81,104,6,0,0,1,0
"aegislash",681,"Aegislash","","steel","ghost",60,50,140,50,140,60,6,0,0,1,0
"aromatisse",683,"Aromatisse","","fairy","",101,72,72,99,89,29,6,0,0,1,0
"slurpuff",685,"Slurpuff","","fairy","",82,80,86,85,75,72,6,0,0,1,0
"clawitzer",693,"Clawitzer","","water","",71,73,88,120,89,67,6,0,0,1,0
"heliolisk",695,"Heliolisk","","electric","normal",62,55,52,109,94,124,6,0,0,1,0
"tyrantrum",697,"Tyrantrum","","rock","dragon",82,121,119,69,59,71,6,0,0,1,0
"aurorus",699,"Aurorus","","rock","ice",123,77,72,99,92,58,6,0,0,1,0
"sylveon",700,"Sylveon","","fairy","",95,65,65,110,130,60,6,0,0,1,0
"hawlucha",701,"Hawlucha","","fighting","flying",78,92,75,74,63,118,6,0,0,1,0
"dedenne",702,"Dedenne","","electric","fairy",67,58,57,81,67,101,6,0,0,1,0
"goodra",706,"Goodra","","dragon","",90,100,70,110,150,80,6,0,0,1,0
"goodra-hisuian",706,"Goodra","Hisuian","steel","dragon",80,100,100,110,150,60,6,0,0,1,0
"klefki",707,"Klefki","","steel","fairy",57,80,91,80,87,75,6,0,0,1,0
"trevenant",709,"Trevenant","","ghost","grass",85,110,76,65,82,56,6,0,0,1,0
"gourgeist-small",711,"Gourgeist","Small","ghost","grass",55,85,122,58,75,99,6,0,0,1,0
"gourgeist-medium",711,"Gourgeist","Medium","ghost","grass",65,90,122,58,75,84,6,0,0,1,0
"gourgeist-large",711,"Gourgeist","Large","ghost","grass",75,95,122,58,75,69,6,0,0,1,0
"gourgeist-super",711,"Gourgeist","Super","ghost","grass",85,100,122,58,75,54,6,0,0,1,0
"avalugg",713,"Avalugg","","ice","",95,117,184,44,46,28,6,0,0,1,0
"avalugg-hisuian",713,"Avalugg","Hisuian","ice","rock",95,127,184,34,36,28,6,0,0,1,0
"noivern",715,"Noivern","","flying","dragon",85,70,80,97,80,123,6,0,0,1,0
"decidueye",724,"Decidueye","","grass","ghost",78,107,75,100,100,70,7,0,0,1,0
"decidueye-hisuian",724,"Decidueye","Hisuian","grass","fighting",88,112,80,95,95,60,7,0,0,1,0
"incineroar",727,"Incineroar","","fire","dark",95,115,90,80,90,60,7,0,0,1,0
"primarina",730,"Primarina","","water","fairy",80,74,74,126,116,60,7,0,0,1,0
"toucannon",733,"Toucannon","","normal","flying",80,120,75,75,75,60,7,0,0,1,0
"crabominable",740,"Crabominable","","fighting","ice",97,132,77,62,67,43,7,0,0,1,0
"lycanroc-midday",745,"Lycanroc","Midday","rock","",75,115,65,55,65,112,7,0,0,1,0
"lycanroc-midnight",745,"Lycanroc","Midnight","rock","",85,115,75,55,75,82,7,0,0,1,0
"lycanroc-dusk",745,"Lycanroc","Dusk","rock","",75,117,65,55,65,110,7,0,0,1,0
"toxapex",748,"Toxapex","","poison","water",50,63,152,53,142,35,7,0,0,1,0
"mudsdale",750,"Mudsdale","","ground","",100,125,100,55,85,35,7,0,0,1,0
"araquanid",752,"Araquanid","","water","bug",68,70,92,50,132,42,7,0,0,1,0
"salazzle",758,"Salazzle","","poison","fire",68,64,60,111,60,117,7,0,0,1,0
"tsareena",763,"Tsareena","","grass","",72,120,98,50,98,72,7,0,0,1,0
"oranguru",765,"Oranguru","","normal","psychic",90,60,80,90,110,60,7,0,0,1,0
"passimian",766,"Passimian","","fighting","",100,120,90,40,60,80,7,0,0,1,0
"mimikyu",778,"Mimikyu","","ghost","fairy",55,90,80,50,105,96,7,0,0,1,0
"drampa",780,"Drampa","","normal","dragon",78,60,85,135,91,36,7,0,0,1,0
"kommo-o",784,"Kommo-o","","dragon","fighting",75,110,125,100,105,85,7,0,0,1,0
"corviknight",823,"Corviknight","","flying","steel",98,87,105,53,85,67,8,0,0,1,0
