"species_slug","ability_slug","slot"
"abomasnow","snow-warning",1
"abomasnow","soundproof",3
"absol","pressure",1
"absol","super-luck",2
"absol","justified",3
"aegislash","stance-change",1
"aerodactyl","rock-head",1
"aerodactyl","pressure",2
"aerodactyl","unnerve",3
"aggron","sturdy",1
"aggron","rock-head",2
"aggron","heavy-metal",3
"alakazam","synchronize",1
"alakazam","inner-focus",2
"alakazam","magic-guard",3
"alcremie","sweet-veil",1
"alcremie","aroma-veil",3
"altaria","natural-cure",1
"altaria","cloud-nine",3
"ampharos","static",1
"ampharos","plus",3
"appletun","ripen",1
"appletun","gluttony",2
"appletun","thick-fat",3
"araquanid","water-bubble",1
"araquanid","water-absorb",3
"arbok","intimidate",1
"arbok","shed-skin",2
"arbok","unnerve",3
"arcanine","intimidate",1
"arcanine","flash-fire",2
"arcanine","justified",3
"arcanine-hisuian","intimidate",1
"arcanine-hisuian","flash-fire",2
"arcanine-hisuian","rock-head",3
"archaludon","stamina",1
"archaludon","sturdy",2
"archaludon","stalwart",3
"ariados","swarm",1
"ariados","insomnia",2
"ariados","sniper",3
"armarouge","flash-fire",1
"armarouge","weak-armor",3
"aromatisse","healer",1
"aromatisse","aroma-veil",3
"audino","healer",1
"audino","regenerator",2
"audino","klutz",3
"aurorus","refrigerate",1
"aurorus","snow-warning",3
"avalugg","own-tempo",1
"avalugg","ice-body",2
"avalugg","sturdy",3
"avalugg-hisuian","strong-jaw",1
"avalugg-hisuian","ice-body",2
"avalugg-hisuian","sturdy",3
"azumarill","thick-fat",1
"azumarill","huge-power",2
"azumarill","sap-sipper",3
"banette","insomnia",1
"banette","frisk",2
"banette","cursed-body",3
"basculegion-female","swift-swim",1
"basculegion-female","adaptability",2
"basculegion-female","mold-breaker",3
"basculegion-male","swift-swim",1
"basculegion-male","adaptability",2
"basculegion-male","mold-breaker",3
"bastiodon","sturdy",1
"bastiodon","soundproof",3
"beartic","snow-cloak",1
"beartic","slush-rush",2
"beartic","swift-swim",3
"beedrill","swarm",1
"beedrill","sniper",3
"bellibolt","electromorphosis",1
"bellibolt","static",2
"bellibolt","damp",3
"blastoise","torrent",1
"blastoise","rain-dish",3
"camerupt","magma-armor",1
"camerupt","solid-rock",2
"camerupt","anger-point",3
"castform","forecast",1
"ceruledge","flash-fire",1
"ceruledge","weak-armor",3
"chandelure","flash-fire",1
"chandelure","flame-body",2
"chandelure","infiltrator",3
"charizard","blaze",1
"charizard","solar-power",3
"chesnaught","overgrow",1
"chesnaught","bulletproof",3
"chimecho","levitate",1
"clawitzer","mega-launcher",1
"clefable","cute-charm",1
"clefable","magic-guard",2
"clefable","unaware",3
"cofagrigus","mummy",1
"conkeldurr","guts",1
"conkeldurr","sheer-force",2
"conkeldurr","iron-fist",3
"corviknight","pressure",1
"corviknight","unnerve",2
"corviknight","mirror-armor",3
"crabominable","hyper-cutter",1
"crabominable","iron-fist",2
"crabominable","anger-point",3
"decidueye","overgrow",1
"decidueye","long-reach",3
"decidueye-hisuian","overgrow",1
"decidueye-hisuian","scrappy",3
"dedenne","cheek-pouch",1
"dedenne","pickup",2
"dedenne","plus",3
"delphox","blaze",1
"delphox","magician",3
"diggersby","pickup",1
"diggersby","cheek-pouch",2
"diggersby","huge-power",3
"ditto","limber",1
"ditto","imposter",3
"dragapult","clear-body",1
"dragapult","infiltrator",2
"dragapult","cursed-body",3
"dragonite","inner-focus",1
"dragonite","multiscale",3
"drampa","berserk",1
"emboar","blaze",1
"emboar","reckless",3
"emolga","static",1
"emolga","motor-drive",3
"empoleon","torrent",1
"empoleon","competitive",3
"espathra","opportunist",1
"espathra","frisk",2
"espathra","speed-boost",3
"espeon","synchronize",1
"espeon","magic-bounce",3
"excadrill","sand-rush",1
"excadrill","sand-force",2
"excadrill","mold-breaker",3
"farigiraf","cud-chew",1
"farigiraf","armor-tail",2
"farigiraf","sap-sipper",3
"feraligatr","torrent",1
"feraligatr","sheer-force",3
"flapple","ripen",1
"flapple","gluttony",2
"flapple","hustle",3
"flareon","flash-fire",1
"flareon","guts",3
"floette-eternal","flower-veil",1
"floette-eternal","symbiosis",3
"florges","flower-veil",1
"florges","symbiosis",3
"forretress","sturdy",1
"forretress","overcoat",3
"froslass","snow-cloak",1
"froslass","cursed-body",3
"furfrou","fur-coat",1
"gallade","steadfast",1
"gallade","sharpness",2
"gallade","justified",3
